work_id,mp_name,district,implementing_agency,work_category,final_risk_score,risk_level,inspection_priority,general_risk,fund_risk,timeline_risk,duplicate_risk,base_risk,explanation,why_flagged,recommended_action
W10688,Victor Venkataraman,Nagpur,District Rural Development Agency,Road Construction,26.99,LOW,NORMAL,72.47,0.0,0.0,0.0,62.47,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,General project risk indicators are high. | Project cost estimate is relatively high (164.51 lakhs). | The underlying project risk score indicates moderate risk.,No immediate action required. Continue routine monitoring.
W12715,Onveer Kata,Chennai,Zilla Panchayat,Road Construction,26.83,LOW,NORMAL,72.07,0.0,0.0,0.0,62.07,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,General project risk indicators are high. | Project cost estimate is relatively high (106.06 lakhs). | The underlying project risk score indicates moderate risk.,No immediate action required. Continue routine monitoring.
W10996,Yamini Chand,Howrah,State Housing Board,Road Construction,25.25,LOW,NORMAL,65.63,0.0,0.0,0.0,60.63,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,General project risk indicators require review. | The underlying project risk score indicates moderate risk.,No immediate action required. Continue routine monitoring.
W10150,Deepa Gala,Dharwad,Municipal Corporation,Community Health Center,24.4,LOW,NORMAL,61.0,0.0,0.0,0.0,61.0,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,General project risk indicators require review. | The underlying project risk score indicates moderate risk.,No immediate action required. Continue routine monitoring.
W10819,Leena Butala,Thane,State Housing Board,Drinking Water Supply,24.02,LOW,NORMAL,62.56,0.0,0.0,0.0,57.56,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,General project risk indicators require review. | The underlying project risk score indicates moderate risk.,No immediate action required. Continue routine monitoring.
W10185,Victor Venkataraman,Mysuru,State Housing Board,Community Health Center,22.73,LOW,NORMAL,56.83,0.0,0.0,0.0,56.83,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,General project risk indicators require review. | The underlying project risk score indicates moderate risk.,No immediate action required. Continue routine monitoring.
W12823,Leena Butala,Lucknow,District Rural Development Agency,Street Lighting,22.64,LOW,NORMAL,56.61,0.0,0.0,0.0,56.61,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,General project risk indicators require review. | The underlying project risk score indicates moderate risk.,No immediate action required. Continue routine monitoring.
W11950,Vrinda Biswas,Belagavi,District Rural Development Agency,Community Health Center,22.55,LOW,NORMAL,56.38,0.0,0.0,0.0,56.38,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,General project risk indicators require review. | The underlying project risk score indicates moderate risk.,No immediate action required. Continue routine monitoring.
W12466,Triya Khatri,Madurai,District Rural Development Agency,Drinking Water Supply,21.82,LOW,NORMAL,54.55,0.0,0.0,0.0,54.55,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,General project risk indicators require review. | The underlying project risk score indicates moderate risk.,No immediate action required. Continue routine monitoring.
W10865,Onveer Kata,Asansol,Zilla Panchayat,Community Health Center,21.24,LOW,NORMAL,55.59,0.0,0.0,0.0,50.59,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,General project risk indicators require review. | The underlying project risk score indicates moderate risk.,No immediate action required. Continue routine monitoring.
W11096,Pallavi Krish,Chennai,Zilla Panchayat,Drinking Water Supply,20.9,LOW,NORMAL,52.26,0.0,0.0,0.0,52.26,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,General project risk indicators require review. | The underlying project risk score indicates moderate risk.,No immediate action required. Continue routine monitoring.
W10230,Ria Ratta,Kanpur,State Housing Board,Drainage System,20.89,LOW,NORMAL,52.23,0.0,0.0,0.0,52.23,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,General project risk indicators require review. | The underlying project risk score indicates moderate risk.,No immediate action required. Continue routine monitoring.
W12894,Krishna Pant,Mysuru,Zilla Panchayat,Road Construction,20.75,LOW,NORMAL,54.37,0.0,0.0,0.0,49.37,This project has been classified as LOW RISK because the current risk indicators are within the acceptable monitoring range.,General project risk indicators require review. | The underlying project risk score indicates moderate risk.,No immediate action required. Continue routine monitoring.
