work_id,mp_name,district,implementing_agency,work_category,cost_estimate_lakhs,status,risk_score,reasons_text
W10688,Victor Venkataraman,Nagpur,District Rural Development Agency,Road Construction,164.5050429768184,Ongoing,62.46616263667986,Cost is unusually high for 'Road Construction' works; Still ongoing 2+ years after sanction
W12715,Onveer Kata,Chennai,Zilla Panchayat,Road Construction,106.05963132257617,Ongoing,62.06863861978442,Cost is unusually high for 'Road Construction' works; Still ongoing 2+ years after sanction
W10150,Deepa Gala,Dharwad,Municipal Corporation,Community Health Center,35.26,Completed,61,Marked completed in under 30 days of sanction
W10996,Yamini Chand,Howrah,State Housing Board,Road Construction,78.14676526,Ongoing,60.633888903146854,Cost is unusually high for 'Road Construction' works; Still ongoing 2+ years after sanction
W10819,Leena Butala,Thane,State Housing Board,Drinking Water Supply,57.37122685,Completed,57.55701872322488,Cost is unusually high for 'Drinking Water Supply' works
W10185,Victor Venkataraman,Mysuru,State Housing Board,Community Health Center,30.71,Completed,56.83353628575788,Marked completed in under 30 days of sanction
W12823,Leena Butala,Lucknow,District Rural Development Agency,Street Lighting,1.31,Completed,56.61181375192424,Marked completed in under 30 days of sanction
W11950,Vrinda Biswas,Belagavi,District Rural Development Agency,Community Health Center,26.59,Completed,56.37695509864188,Marked completed in under 30 days of sanction
W12466,Triya Khatri,Madurai,District Rural Development Agency,Drinking Water Supply,17.66,Completed,54.54533492323343,Marked completed in under 30 days of sanction
W11096,Pallavi Krish,Chennai,Zilla Panchayat,Drinking Water Supply,16.03,Completed,52.256349431835616,Marked completed in under 30 days of sanction
W10230,Ria Ratta,Kanpur,State Housing Board,Drainage System,6.71,Completed,52.23075489,Marked completed in under 30 days of sanction
W10993,Hemang Bava,Asansol,Municipal Corporation,Drainage System,6.5,Completed,51.58823457728016,Marked completed in under 30 days of sanction
W11271,Deepa Gala,Mysuru,District Rural Development Agency,Drinking Water Supply,15.71,Completed,51.41735792334016,Marked completed in under 30 days of sanction
W10669,Yug Choudhry,Dharwad,Public Works Department,School Building Repair,10.32,Completed,51.30126063249732,Marked completed in under 30 days of sanction
W12754,Hemang Bava,Coimbatore,District Rural Development Agency,Public Toilet Complex,7.68,Completed,50.988826331141155,Marked completed in under 30 days of sanction
W10865,Onveer Kata,Asansol,Zilla Panchayat,Community Health Center,74.09449409651694,Completed,50.590983665168004,Cost is unusually high for 'Community Health Center' works
W12369,Sanya Swamy,Nagpur,Public Works Department,School Building Repair,11.23,Completed,50.50649456,Marked completed in under 30 days of sanction
W10038,Odika Naik,Belagavi,Zilla Panchayat,Drainage System,44.42879449315261,Ongoing,50.3878908,Cost is unusually high for 'Drainage System' works; Still ongoing 2+ years after sanction
W12894,Krishna Pant,Mysuru,Zilla Panchayat,Road Construction,59.36178626483484,Completed,49.370777040623935,Cost is unusually high for 'Road Construction' works
W10907,Gaurav Chandra,Pune,Zilla Panchayat,Community Health Center,45.04,Ongoing,48.83024330572489,Still ongoing 2+ years after sanction; Agency handles a disproportionate share of Pune's works
W12030,Oliver Sarma,Pune,Zilla Panchayat,Community Health Center,43.41,Ongoing,47.87689674987536,Still ongoing 2+ years after sanction; Agency handles a disproportionate share of Pune's works
W12572,Rayaan Mand,Pune,Zilla Panchayat,Community Health Center,49.62,Ongoing,47.06519216,Still ongoing 2+ years after sanction; Agency handles a disproportionate share of Pune's works
W11670,Owen Bansal,Nagpur,Public Works Department,Street Lighting,22.92929084968078,Ongoing,45.73540706245492,Cost is unusually high for 'Street Lighting' works; Still ongoing 2+ years after sanction
W11766,Ishwar Boase,Pune,Zilla Panchayat,Community Health Center,37.56,Completed,44.17058043207448,Agency handles a disproportionate share of Pune's works
W10104,Meera Banerjee,Pune,Zilla Panchayat,Community Health Center,49.13,Completed,44.050385804762335,Agency handles a disproportionate share of Pune's works
W12568,Leena Butala,Pune,Zilla Panchayat,Road Construction,21.59,Completed,43.847139833170544,Near-duplicate work description under same agency; Agency handles a disproportionate share of Pune's works
W12442,Owen Bansal,Belagavi,Municipal Corporation,School Building Repair,46.62613231508003,Completed,41.74358391859787,Cost is unusually high for 'School Building Repair' works
W10633,Gaurav Chandra,Pune,Zilla Panchayat,Community Health Center,42.7,Ongoing,41.378257213335544,Still ongoing 2+ years after sanction; Agency handles a disproportionate share of Pune's works
W12429,Krishna Pant,Coimbatore,District Rural Development Agency,Community Health Center,44.16,Ongoing,41.206109210220724,Near-duplicate work description under same agency
W12183,Ronith Zachariah,Pune,Zilla Panchayat,Road Construction,39.92,Ongoing,39.71977053946719,Still ongoing 2+ years after sanction; Agency handles a disproportionate share of Pune's works
W10239,Leena Butala,Pune,Zilla Panchayat,Road Construction,33.33,Ongoing,39.70431100267689,Still ongoing 2+ years after sanction; Agency handles a disproportionate share of Pune's works
W11191,Hemang Bava,Agra,Zilla Panchayat,Community Health Center,48.46,Completed,39.16535597623346,Flagged by ML pattern only
W12140,Eesha Memon,Kolkata,District Rural Development Agency,Community Health Center,49.74,Ongoing,38.78911833884817,Still ongoing 2+ years after sanction
W12632,Victor Venkataraman,Dharwad,Zilla Panchayat,Community Health Center,47.14,Completed,38.75961058789058,Flagged by ML pattern only
W11990,Ria Ratta,Coimbatore,Public Works Department,Community Health Center,49.03,Ongoing,38.73430836146733,Still ongoing 2+ years after sanction
W11772,Deepa Gala,Mysuru,Zilla Panchayat,Public Toilet Complex,23.69347963182055,Ongoing,38.65583518740888,Cost is unusually high for 'Public Toilet Complex' works; Still ongoing 2+ years after sanction
W10118,Gaurav Chandra,Pune,Zilla Panchayat,Road Construction,15.65,Ongoing,38.63505618530037,Near-duplicate work description under same agency; Still ongoing 2+ years after sanction; Agency handles a disproportionate share of Pune's works
W11840,Ekansh Sami,Pune,Zilla Panchayat,Road Construction,28.39,Completed,37.844962991900005,Agency handles a disproportionate share of Pune's works
W10400,Advaith Gole,Nashik,Zilla Panchayat,Community Health Center,49.49,Ongoing,37.57925235338486,Still ongoing 2+ years after sanction
W10670,Tanish Iyer,Pune,Zilla Panchayat,Community Health Center,38.62,Ongoing,37.55139986980882,Still ongoing 2+ years after sanction; Agency handles a disproportionate share of Pune's works
W12617,Yadavi Deshmukh,Asansol,Municipal Corporation,Community Health Center,48.58,Ongoing,36.70928761425086,Still ongoing 2+ years after sanction
