state,district,constituency,mp_name,work_id,work_name,work_category,implementing_agency,sanction_amount,expenditure,physical_progress,start_date,expected_completion_date,actual_completion_date,contractor,latitude,longitude,status,existing_rule_score,data_source,data_label,fund_utilization_pct,progress_expenditure_gap,progress_expenditure_mismatch,cost_overrun_amount,cost_overrun_pct,cost_overrun_flag,planned_duration_days,actual_duration_days,delay_days,timeline_delay_flag,high_fund_utilization,record_id,rule_risk_score,rule_risk_level,rule_reasons,ml_anomaly,ml_anomaly_score,ml_anomaly_status,ml_model,ml_risk_score,hybrid_risk_score,hybrid_risk_level,hybrid_risk_reasons,inspection_priority
,Nagpur,,Victor Venkataraman,W10688,,Road Construction,District Rural Development Agency,164.5050429768184,,,,,,,,,Ongoing,62.46616263667986,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10688,62.47,MEDIUM,No rule-based risk condition triggered,True,0.0596,Anomaly,Isolation Forest,100.0,77.48,HIGH,ML: Isolation Forest identified unusual project characteristics,HIGH
,Chennai,,Onveer Kata,W12715,,Road Construction,Zilla Panchayat,106.05963132257617,,,,,,,,,Ongoing,62.06863861978442,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12715,62.07,MEDIUM,No rule-based risk condition triggered,True,0.0279,Anomaly,Isolation Forest,99.7,77.12,HIGH,ML: Isolation Forest identified unusual project characteristics,HIGH
,Dharwad,,Deepa Gala,W10150,,Community Health Center,Municipal Corporation,35.26,,,,,,,,,Completed,61.0,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10150,61.0,MEDIUM,No rule-based risk condition triggered,False,-0.0039,Normal,Isolation Forest,93.62,74.05,HIGH,No significant risk indicator detected,HIGH
,Howrah,,Yamini Chand,W10996,,Road Construction,State Housing Board,78.14676526,,,,,,,,,Ongoing,60.63388890314685,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10996,60.63,MEDIUM,No rule-based risk condition triggered,True,0.033,Anomaly,Isolation Forest,99.87,76.33,HIGH,ML: Isolation Forest identified unusual project characteristics,HIGH
,Thane,,Leena Butala,W10819,,Drinking Water Supply,State Housing Board,57.37122685,,,,,,,,,Completed,57.55701872322488,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10819,57.56,MEDIUM,No rule-based risk condition triggered,True,0.0317,Anomaly,Isolation Forest,99.83,74.47,HIGH,ML: Isolation Forest identified unusual project characteristics,HIGH
,Mysuru,,Victor Venkataraman,W10185,,Community Health Center,State Housing Board,30.71,,,,,,,,,Completed,56.83353628575788,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W10185,56.83,MEDIUM,No rule-based risk condition triggered,False,-0.0148,Normal,Isolation Forest,87.13,68.95,MEDIUM,No significant risk indicator detected,HIGH
,Lucknow,,Leena Butala,W12823,,Street Lighting,District Rural Development Agency,1.31,,,,,,,,,Completed,56.61181375192424,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12823,56.61,MEDIUM,No rule-based risk condition triggered,False,-0.0206,Normal,Isolation Forest,79.83,65.9,MEDIUM,No significant risk indicator detected,HIGH
,Belagavi,,Vrinda Biswas,W11950,,Community Health Center,District Rural Development Agency,26.59,,,,,,,,,Completed,56.37695509864188,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11950,56.38,MEDIUM,No rule-based risk condition triggered,False,-0.0317,Normal,Isolation Forest,47.08,52.66,MEDIUM,No significant risk indicator detected,MEDIUM
,Madurai,,Triya Khatri,W12466,,Drinking Water Supply,District Rural Development Agency,17.66,,,,,,,,,Completed,54.54533492323343,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W12466,54.55,MEDIUM,No rule-based risk condition triggered,False,-0.026,Normal,Isolation Forest,68.0,59.93,MEDIUM,No significant risk indicator detected,MEDIUM
,Chennai,,Pallavi Krish,W11096,,Drinking Water Supply,Zilla Panchayat,16.03,,,,,,,,,Completed,52.256349431835616,synthetic,Synthetic Test Data,,,False,,,False,,,,False,False,W11096,52.26,MEDIUM,No rule-based risk condition triggered,False,-0.0383,Normal,Isolation Forest,21.42,39.92,LOW,No significant risk indicator detected,LOW
