work_id,mp_name,district,implementing_agency,work_category,cost_estimate_lakhs,general_risk,fund_risk,timeline_risk,duplicate_risk,base_risk,final_risk_score,risk_level,inspection_priority,risk_reasons
W10688,Victor Venkataraman,Nagpur,District Rural Development Agency,Road Construction,164.5050429768184,72.47,0.0,0.0,0.0,62.47,26.99,LOW,NORMAL,Project cost estimate is unusually high.
W12715,Onveer Kata,Chennai,Zilla Panchayat,Road Construction,106.05963132257617,72.07,0.0,0.0,0.0,62.07,26.83,LOW,NORMAL,Project cost estimate is unusually high.
W10996,Yamini Chand,Howrah,State Housing Board,Road Construction,78.14676526,65.63,0.0,0.0,0.0,60.63,25.25,LOW,NORMAL,Project has a relatively high cost estimate.
W10150,Deepa Gala,Dharwad,Municipal Corporation,Community Health Center,35.26,61.0,0.0,0.0,0.0,61.0,24.4,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10819,Leena Butala,Thane,State Housing Board,Drinking Water Supply,57.37122685,62.56,0.0,0.0,0.0,57.56,24.02,LOW,NORMAL,Project has a relatively high cost estimate.
W10185,Victor Venkataraman,Mysuru,State Housing Board,Community Health Center,30.71,56.83,0.0,0.0,0.0,56.83,22.73,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12823,Leena Butala,Lucknow,District Rural Development Agency,Street Lighting,1.31,56.61,0.0,0.0,0.0,56.61,22.64,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11950,Vrinda Biswas,Belagavi,District Rural Development Agency,Community Health Center,26.59,56.38,0.0,0.0,0.0,56.38,22.55,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12466,Triya Khatri,Madurai,District Rural Development Agency,Drinking Water Supply,17.66,54.55,0.0,0.0,0.0,54.55,21.82,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10865,Onveer Kata,Asansol,Zilla Panchayat,Community Health Center,74.09449409651694,55.59,0.0,0.0,0.0,50.59,21.24,LOW,NORMAL,Project has a relatively high cost estimate.
W11096,Pallavi Krish,Chennai,Zilla Panchayat,Drinking Water Supply,16.03,52.26,0.0,0.0,0.0,52.26,20.9,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10230,Ria Ratta,Kanpur,State Housing Board,Drainage System,6.71,52.23,0.0,0.0,0.0,52.23,20.89,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12894,Krishna Pant,Mysuru,Zilla Panchayat,Road Construction,59.36178626483484,54.37,0.0,0.0,0.0,49.37,20.75,LOW,NORMAL,Project has a relatively high cost estimate.
W10993,Hemang Bava,Asansol,Municipal Corporation,Drainage System,6.5,51.59,0.0,0.0,0.0,51.59,20.64,LOW,NORMAL,No major anomaly detected by the current risk layers.
W11271,Deepa Gala,Mysuru,District Rural Development Agency,Drinking Water Supply,15.71,51.42,0.0,0.0,0.0,51.42,20.57,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10669,Yug Choudhry,Dharwad,Public Works Department,School Building Repair,10.32,51.3,0.0,0.0,0.0,51.3,20.52,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12754,Hemang Bava,Coimbatore,District Rural Development Agency,Public Toilet Complex,7.68,50.99,0.0,0.0,0.0,50.99,20.4,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12369,Sanya Swamy,Nagpur,Public Works Department,School Building Repair,11.23,50.51,0.0,0.0,0.0,50.51,20.2,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10038,Odika Naik,Belagavi,Zilla Panchayat,Drainage System,44.42879449315261,50.39,0.0,0.0,0.0,50.39,20.16,LOW,NORMAL,No major anomaly detected by the current risk layers.
W10907,Gaurav Chandra,Pune,Zilla Panchayat,Community Health Center,45.04,48.83,0.0,0.0,0.0,48.83,19.53,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12030,Oliver Sarma,Pune,Zilla Panchayat,Community Health Center,43.41,47.88,0.0,0.0,0.0,47.88,19.15,LOW,NORMAL,No major anomaly detected by the current risk layers.
W12572,Rayaan Mand,Pune,Zilla Panchayat,Community Health Center,49.62,47.07,0.0,0.0,0.0,47.07,18.83,LOW,NORMAL,No major anomaly detected by the current risk layers.
